,Count,Words
0,1,jubilant
1,1,opportunities
2,1,top
3,1,series
4,1,couple
5,2,"Eng,"
6,1,"Stumped!!"""
7,1,forward
8,1,"Aus,"
9,1,moment.
10,2,pretty
11,1,2016#3
12,4,their
13,1,against
14,1,long
15,1,Let
16,1,position
17,1,Hi-fives
18,2,try
19,1,England's
20,1,head
21,1,beaming
22,2,runs
23,9,they
24,1,yardstick
25,1,unit.
26,2,game
27,1,*206
28,1,today's
29,1,operate
30,1,"Morgan,"
31,2,got
32,1,Member
33,1,batsmen.
34,4,"Bridge,"
35,2,do
36,3,Stanlake
37,1,office
38,1,"*"""
39,1,really.
40,1,481.
41,1,shrug
42,1,series.
43,1,intent.
44,1,Willey
45,8,have
46,1,carnage
47,1,set
48,1,margin
49,1,"3,""Tim"
50,1,opposition
51,1,throughout
52,6,England
53,2,day.
54,1,after
55,1,THAT'S
56,1,last
57,3,from
58,2,On
59,1,duo
60,1,intimidating
61,1,defeat
62,1,settled
63,1,final
64,1,five-match
65,1,ourselves
66,1,"6,____________________"
67,1,"next,"
68,1,No
69,2,some
70,1,need
71,30,the
72,1,(To
73,4,"SA,"
74,1,end
75,1,Cup)
76,1,Marsh
77,1,Ali
78,1,replicate
79,2,beat
80,1,"Perth,"
81,1,Managed
82,1,visitors'
83,1,"fours,"
84,1,go
85,1,young
86,1,bowling
87,1,"Sydney,"
88,1,SL
89,14,in
90,2,50-over
91,1,And
92,2,It
93,3,Australia
94,1,creeping
95,5,that
96,1,Shashikant
97,1,he
98,7,is
99,1,ahead
100,1,Pakistan
101,1,"note,"
102,1,"5,""A"
103,1,Sriram
104,1,turn
105,1,remarkable
106,2,few
107,1,but
108,1,runs):272
109,1,nothing
110,1,matter
111,1,East
112,1,guys
113,3,up
114,1,starts
115,1,Narayanan:#1:
116,1,imperative
117,1,2
118,1,In
119,1,no
120,1,Australian
121,1,cricket.
122,1,care
123,1,batsmen
124,3,good
125,1,2010258
126,1,481
127,1,on
128,1,",Title"
129,1,back
130,1,hundred
131,15,v
132,4,We
133,1,big
134,1,things
135,2,Biggest
136,1,sixes
137,4,was
138,1,242
139,1,sink
140,1,an
141,1,between
142,1,selection).
143,2,where
144,1,"quickly."""
145,1,2006164
146,1,goldfish
147,1,show
148,1,us.
149,1,"fairness,"
150,1,"tough,"
151,1,side
152,1,ground).
153,1,spoils
154,1,leg
